iter	Passed	Remaining
476	640	701
477	641	700
478	642	698
479	643	697
480	644	695
481	645	694
482	646	692
483	647	690
484	648	688
485	649	687
486	650	685
487	651	683
488	652	681
489	653	680
490	654	678
491	655	676
492	656	674
493	657	673
494	659	672
495	660	670
496	661	669
497	662	667
498	662	665
499	663	663
500	664	661
501	665	660
502	666	658
503	667	656
504	668	654
505	668	653
506	669	651
507	670	649
508	671	648
509	673	646
510	674	645
511	675	643
512	676	642
513	677	640
514	678	638
515	679	637
516	680	635
517	680	633
518	681	631
519	682	630
520	683	628
521	684	626
522	685	625
523	686	623
524	687	622
525	689	621
526	690	619
527	691	617
528	692	616
529	693	614
530	693	612
531	694	611
532	695	609
533	696	607
534	697	606
535	698	604
536	699	602
537	700	601
538	700	599
539	703	599
540	704	597
541	705	596
542	706	594
543	707	592
544	708	591
545	709	589
546	710	588
547	710	586
548	711	584
549	712	583
550	713	581
551	714	579
552	715	578
553	716	576
554	717	575
555	719	574
556	720	572
557	721	571
558	722	569
559	722	568
560	723	566
561	724	564
562	725	563
563	726	561
564	727	559
565	728	558
566	728	556
567	729	555
568	730	553
569	731	552
570	733	551
571	734	549
572	735	548
573	736	546
574	737	545
575	738	543
576	739	542
577	740	540
578	741	539
579	742	537
580	743	536
581	744	534
582	745	532
583	746	531
584	747	530
585	749	529
586	751	528
587	752	527
588	754	526
589	755	524
590	756	523
591	756	521
592	757	520
593	758	518
594	759	516
595	760	515
596	761	514
597	763	513
598	764	511
599	765	510
600	766	508
601	767	507
602	768	505
603	769	504
604	769	502
605	770	501
606	771	499
607	772	498
608	773	496
609	774	495
610	775	493
611	777	492
612	778	491
613	780	490
614	780	488
615	781	487
616	782	485
617	783	484
618	784	482
619	785	481
620	786	479
621	787	478
622	788	476
623	788	475
624	789	473
625	790	472
626	791	471
627	793	470
628	794	468
629	795	467
630	796	465
631	797	464
632	798	462
633	798	461
634	800	459
635	800	458
636	801	456
637	802	455
638	803	453
639	804	452
640	805	451
641	806	449
642	808	448
643	809	447
644	810	445
645	810	444
646	811	442
647	812	441
648	813	439
649	814	438
650	815	437
651	816	435
652	817	434
653	817	432
654	818	431
655	819	429
656	821	428
657	823	427
658	824	426
659	825	425
660	826	423
661	827	422
662	828	420
663	830	420
664	831	418
665	831	417
666	832	415
667	833	414
668	834	412
669	835	411
670	836	410
671	838	409
672	839	407
673	840	406
674	840	404
675	841	403
676	842	402
677	843	400
678	844	399
679	845	397
680	846	396
681	847	395
682	848	393
683	848	392
684	849	390
685	850	389
686	852	388
687	853	387
688	854	385
689	855	384
690	856	382
691	857	381
692	858	380
693	859	378
694	859	377
695	860	375
696	861	374
697	862	373
698	863	371
699	864	370
700	865	369
701	867	368
702	868	366
703	869	365
704	870	364
705	871	362
706	872	361
707	873	360
708	874	358
709	874	357
710	875	355
711	876	354
712	877	353
713	878	351
714	879	350
715	880	349
716	881	348
717	883	346
718	884	345
719	885	344
720	886	342
721	887	341
722	887	340
723	888	338
724	889	337
725	890	336
726	891	334
727	892	333
728	893	332
729	894	330
730	895	329
731	896	328
732	897	326
733	898	325
734	899	324
735	900	322
736	901	321
737	902	320
738	903	318
739	903	317
740	904	316
741	905	314
742	906	313
743	907	312
744	908	310
745	909	309
746	910	308
747	911	307
748	913	305
749	913	304
750	914	303
751	915	302
752	916	300
753	917	299
754	918	298
755	919	296
756	920	295
757	921	294
758	922	292
759	922	291
760	923	290
761	924	288
762	926	287
763	927	286
764	928	285
765	929	283
766	930	282
767	931	281
768	932	280
769	933	278
770	934	277
771	935	276
772	936	274
773	936	273
774	937	272
775	938	270
776	939	269
777	941	268
778	942	267
779	943	266
780	944	264
781	945	263
782	946	262
783	946	260
784	947	259
785	948	258
786	949	257
787	950	255
788	951	254
789	952	253
790	953	251
791	954	250
792	955	249
793	956	248
794	957	246
795	958	245
796	959	244
797	960	243
798	961	241
799	962	240
800	963	239
801	964	238
802	964	236
803	965	235
804	966	234
805	967	232
806	968	231
807	969	230
808	970	229
809	971	227
810	972	226
811	973	225
812	974	224
813	975	222
814	976	221
815	977	220
816	978	219
817	979	217
818	979	216
819	980	215
820	981	214
821	982	212
822	983	211
823	984	210
824	987	209
825	988	208
826	989	207
827	990	205
828	991	204
829	992	203
830	994	202
831	995	200
832	996	199
833	997	198
834	998	197
835	1000	196
836	1002	195
837	1004	194
838	1005	192
839	1006	191
840	1007	190
841	1008	189
842	1009	187
843	1010	186
844	1011	185
845	1012	184
846	1013	183
847	1016	182
848	1017	180
849	1018	179
850	1019	178
851	1020	177
852	1021	176
853	1023	174
854	1024	173
855	1025	172
856	1026	171
857	1027	170
858	1028	168
859	1029	167
860	1032	166
861	1033	165
862	1034	164
863	1035	162
864	1036	161
865	1037	160
866	1038	159
867	1039	158
868	1040	156
869	1041	155
870	1042	154
871	1043	153
872	1046	152
873	1047	151
874	1048	149
875	1049	148
876	1050	147
877	1051	146
878	1052	144
879	1053	143
880	1054	142
881	1055	141
882	1056	140
883	1057	138
884	1058	137
885	1059	136
886	1061	135
887	1062	134
888	1063	132
889	1064	131
890	1065	130
891	1066	129
892	1067	127
893	1068	126
894	1069	125
895	1071	124
896	1072	123
897	1073	121
898	1074	120
899	1075	119
900	1076	118
901	1077	117
902	1078	115
903	1079	114
904	1080	113
905	1081	112
906	1082	110
907	1082	109
908	1083	108
909	1084	107
910	1085	106
911	1086	104
912	1087	103
913	1088	102
914	1089	101
915	1091	100
916	1092	98
917	1093	97
918	1094	96
919	1095	95
920	1096	94
921	1097	92
922	1097	91
923	1098	90
924	1099	89
925	1100	87
926	1101	86
927	1102	85
928	1103	84
929	1106	83
930	1107	82
931	1109	80
932	1110	79
933	1111	78
934	1112	77
935	1113	76
936	1114	74
937	1115	73
938	1116	72
939	1117	71
940	1118	70
941	1119	68
942	1120	67
943	1122	66
944	1123	65
945	1123	64
946	1124	62
947	1125	61
948	1126	60
949	1127	59
950	1128	58
951	1129	56
952	1130	55
953	1131	54
954	1132	53
955	1132	52
956	1134	50
957	1135	49
958	1136	48
959	1137	47
960	1138	46
961	1139	45
962	1140	43
963	1141	42
964	1142	41
965	1143	40
966	1143	39
967	1144	37
968	1145	36
969	1146	35
970	1147	34
971	1148	33
972	1150	31
973	1151	30
974	1152	29
975	1153	28
976	1154	27
977	1154	25
978	1155	24
979	1156	23
980	1157	22
981	1158	21
982	1159	20
983	1160	18
984	1161	17
985	1161	16
986	1162	15
987	1164	14
988	1165	12
989	1166	11
990	1167	10
991	1168	9
992	1169	8
993	1170	7
994	1171	5
995	1172	4
996	1173	3
997	1174	2
998	1175	1
999	1176	0
